hour	bytes	request_count
2005-12-05 00:00:00	1357173	179
2005-12-05 01:00:00	7003192	505
2005-12-05 02:00:00	3975637	322
2005-12-05 03:00:00	1648161	230
2005-12-05 04:00:00	2706362	285
2005-12-05 05:00:00	1511974	169
2005-12-05 06:00:00	2596108	227
2005-12-05 07:00:00	1183706	235
2005-12-05 08:00:00	2038235	337
2005-12-05 09:00:00	1728531	271
2005-12-05 10:00:00	1941148	251
2005-12-05 11:00:00	17935589	1132
2005-12-05 12:00:00	1783542	249
2005-12-05 13:00:00	20853862	1252
2005-12-05 14:00:00	3369830	456
2005-12-05 15:00:00	4236677	578
2005-12-05 16:00:00	2417088	307
2005-12-05 17:00:00	2305958	268
2005-12-05 18:00:00	1904316	288
2005-12-05 19:00:00	2516809	259
2005-12-05 20:00:00	24959563	1532
2005-12-05 21:00:00	1106689	143
2005-12-05 22:00:00	1093521	174
2005-12-05 23:00:00	1287463	170
2005-12-06 00:00:00	2342156	278
2005-12-06 01:00:00	3246573	227
2005-12-06 02:00:00	2280879	281
2005-12-06 03:00:00	1506578	215
2005-12-06 04:00:00	3996191	455
2005-12-06 05:00:00	14025689	958
2005-12-06 06:00:00	2632920	276
2005-12-06 07:00:00	1962617	287
2005-12-06 08:00:00	4278174	541
2005-12-06 09:00:00	6524345	721
2005-12-06 10:00:00	4511058	470
2005-12-06 11:00:00	5939771	511
2005-12-06 12:00:00	8899497	838
2005-12-06 13:00:00	6339484	313
2005-12-06 14:00:00	26994657	1573
2005-12-06 15:00:00	5457004	450
2005-12-06 16:00:00	8306254	709
2005-12-06 17:00:00	9422548	1059
2005-12-06 18:00:00	12927304	1327
2005-12-06 19:00:00	6947270	637
2005-12-06 20:00:00	1386015	210
2005-12-06 21:00:00	2997574	359
2005-12-06 22:00:00	1748948	236
