date_format( request_time, '%Y-%m-%d')	count( distinct(ip_hash) )	count( distinct(robot))
2005-05-09	30	5
2005-05-10	34	9
2005-05-11	42	9
2005-05-12	56	6
2005-05-13	44	8
2005-05-14	28	6
2005-05-15	44	9
2005-05-16	42	6
2005-05-17	99	7
2005-05-18	41	3
2005-05-23	1	0
2005-05-24	1	0
2005-05-25	1	1
2005-05-26	1	0
2005-05-27	2	0
2005-05-31	2	0
2005-06-01	55	5
2005-06-02	200	12
2005-06-03	160	14
2005-06-04	96	12
2005-06-05	94	8
2005-06-06	138	10
2005-06-07	166	15
2005-06-08	159	13
2005-06-09	167	12
2005-06-10	122	10
2005-06-11	89	10
2005-06-12	88	11
2005-06-13	176	12
2005-06-14	148	12
2005-06-15	140	11
2005-06-16	180	13
2005-06-17	138	12
2005-06-18	112	13
2005-06-19	116	10
2005-06-20	167	15
2005-06-21	173	16
2005-06-22	165	14
2005-06-23	187	15
2005-06-24	112	13
2005-06-25	95	10
2005-06-26	114	11
2005-06-27	181	14
2005-06-28	222	15
2005-06-29	220	15
2005-06-30	97	8
2005-07-01	178	14
2005-07-02	152	10
2005-07-03	136	11
2005-07-04	162	8
2005-07-05	179	12
2005-07-06	150	12
2005-07-07	159	11
2005-07-08	141	13
2005-07-09	114	13
2005-07-10	95	9
2005-07-11	155	14
2005-07-12	146	12
2005-07-13	173	11
2005-07-14	174	15
2005-07-15	138	14
2005-07-16	105	13
2005-07-17	111	18
2005-07-18	191	14
2005-07-19	150	13
2005-07-20	193	20
2005-07-21	155	15
2005-07-22	145	11
2005-07-23	119	14
2005-07-24	115	13
2005-07-25	155	11
2005-07-26	208	13
2005-07-27	218	16
2005-07-28	165	12
2005-07-29	203	14
2005-07-30	159	10
2005-07-31	68	11
2005-08-01	302	12
2005-08-02	287	17
2005-08-03	265	16
2005-08-04	304	20
2005-08-05	258	16
2005-08-06	154	15
2005-08-07	189	13
2005-08-08	366	16
2005-08-09	385	14
2005-08-10	270	16
2005-08-11	260	15
2005-08-12	231	14
2005-08-13	145	16
2005-08-14	169	11
2005-08-15	281	11
2005-08-16	324	35
2005-08-17	236	28
2005-08-18	267	34
2005-08-19	268	26
2005-08-20	157	15
2005-08-21	169	12
2005-08-22	281	15
2005-08-23	315	19
2005-08-24	358	15
2005-08-25	325	13
2005-08-26	279	16
2005-08-27	210	14
2005-08-28	183	13
2005-08-29	400	17
2005-08-30	312	15
2005-08-31	137	12
2005-09-01	316	12
2005-09-02	234	15
2005-09-03	195	14
2005-09-04	180	13
2005-09-05	252	13
2005-09-06	344	15
2005-09-07	350	12
2005-09-08	380	14
2005-09-09	304	15
2005-09-10	250	17
2005-09-11	247	14
2005-09-12	443	17
2005-09-13	411	20
2005-09-14	460	20
2005-09-15	415	19
2005-09-16	332	14
2005-09-17	236	17
2005-09-18	272	17
2005-09-19	425	18
2005-09-20	571	18
2005-09-21	449	18
2005-09-22	443	17
2005-09-23	369	16
2005-09-24	259	13
2005-09-25	294	14
2005-09-26	498	15
2005-09-27	458	13
2005-09-28	529	22
2005-09-29	474	20
2005-09-30	180	11
2005-10-01	269	11
2005-10-02	284	14
2005-10-03	487	17
2005-10-04	475	21
2005-10-05	513	19
2005-10-06	438	19
2005-10-07	402	22
2005-10-08	265	21
2005-10-09	285	15
2005-10-10	453	14
2005-10-11	480	16
2005-10-12	435	16
2005-10-13	497	18
2005-10-14	440	17
2005-10-15	308	14
2005-10-16	332	20
2005-10-17	507	18
2005-10-18	460	17
2005-10-19	453	16
2005-10-20	519	21
2005-10-21	445	20
2005-10-22	371	16
2005-10-23	303	17
2005-10-24	508	20
2005-10-25	506	16
2005-10-26	477	17
2005-10-27	466	20
2005-10-28	414	22
2005-10-29	239	16
2005-10-30	297	22
2005-10-31	158	12
2005-11-01	438	22
2005-11-02	424	20
2005-11-03	415	20
2005-11-04	429	20
2005-11-05	272	18
2005-11-06	369	18
2005-11-07	498	18
2005-11-08	451	20
2005-11-09	553	18
2005-11-10	509	14
2005-11-11	417	21
2005-11-12	264	17
2005-11-13	394	18
2005-11-14	509	21
2005-11-15	515	21
2005-11-16	472	18
2005-11-17	448	18
2005-11-18	430	19
2005-11-19	251	17
2005-11-20	265	15
2005-11-21	450	18
2005-11-22	394	21
2005-11-23	359	21
2005-11-24	283	18
2005-11-25	274	18
2005-11-26	237	15
2005-11-27	292	18
2005-11-28	421	19
2005-11-29	389	15
2005-11-30	461	19
2005-12-01	430	22
2005-12-02	337	18
2005-12-03	268	15
2005-12-04	297	18
2005-12-05	480	15
2005-12-06	468	21
