date_format(request_time, '%Y-%m-%d %H:00')	count( distinct(ip_hash))	count( distinct(robot))
2005-12-04 23:00	13	5
2005-12-05 00:00	19	6
2005-12-05 01:00	43	6
2005-12-05 02:00	64	4
2005-12-05 03:00	31	4
2005-12-05 04:00	38	6
2005-12-05 05:00	36	5
2005-12-05 06:00	22	5
2005-12-05 07:00	16	4
2005-12-05 08:00	22	5
2005-12-05 09:00	34	6
2005-12-05 10:00	18	6
2005-12-05 11:00	40	7
2005-12-05 12:00	17	6
2005-12-05 13:00	41	6
2005-12-05 14:00	28	5
2005-12-05 15:00	36	4
2005-12-05 16:00	34	5
2005-12-05 17:00	27	5
2005-12-05 18:00	18	4
2005-12-05 19:00	15	4
2005-12-05 20:00	21	5
2005-12-05 21:00	15	7
2005-12-05 22:00	20	6
2005-12-05 23:00	18	7
2005-12-06 00:00	16	7
2005-12-06 01:00	22	10
2005-12-06 02:00	32	8
2005-12-06 03:00	25	5
2005-12-06 04:00	41	6
2005-12-06 05:00	53	6
2005-12-06 06:00	49	6
2005-12-06 07:00	42	6
2005-12-06 08:00	49	10
2005-12-06 09:00	38	9
2005-12-06 10:00	57	9
2005-12-06 11:00	60	5
2005-12-06 12:00	37	7
2005-12-06 13:00	22	5
2005-12-06 14:00	29	7
2005-12-06 15:00	42	7
2005-12-06 16:00	35	7
2005-12-06 17:00	35	7
2005-12-06 18:00	23	6
2005-12-06 19:00	49	5
2005-12-06 20:00	14	6
2005-12-06 21:00	21	6
2005-12-06 22:00	20	4
