hour	hits	bytes sent
2005-05-09 14:00:00	172	2366697
2005-05-10 00:00:00	2228	18422734
2005-05-11 00:00:00	1070	2922531
2005-05-12 00:00:00	111	531977
2005-05-13 05:00:00	118	478403
2005-05-14 00:00:00	130	49347
2005-05-15 00:00:00	115	48525
2005-05-16 00:00:00	112	46070
2005-05-17 00:00:00	314	126097
2005-05-18 00:00:00	312	845569
2005-05-23 15:00:00	42	517788
2005-05-24 11:00:00	18	148769
2005-05-25 13:00:00	5552	40265249
2005-05-26 00:00:00	13	101210
2005-05-27 13:00:00	65	410719
2005-05-31 09:00:00	185	1851660
2005-06-01 09:00:00	2282	31387378
2005-06-02 00:00:00	2624	27101867
2005-06-03 00:00:00	3578	45485661
2005-06-04 00:00:00	3372	39228831
2005-06-05 00:00:00	2009	20303859
2005-06-06 00:00:00	7766	106781949
2005-06-07 00:00:00	2775	27053002
2005-06-08 00:00:00	3405	41100997
2005-06-09 00:00:00	8447	93928374
2005-06-10 00:00:00	6626	76774458
2005-06-11 00:00:00	2366	17802761
2005-06-12 00:00:00	3701	30037638
2005-06-13 00:00:00	6222	76269916
2005-06-14 00:00:00	6269	76132614
2005-06-15 00:00:00	5651	59958326
2005-06-16 00:00:00	5834	68629316
2005-06-17 00:00:00	4059	43361042
2005-06-18 00:00:00	2637	29255987
2005-06-19 00:00:00	3018	41042361
2005-06-20 00:00:00	3847	46934654
2005-06-21 00:00:00	4510	44892726
2005-06-22 00:00:00	3254	37761560
2005-06-23 00:00:00	4393	45735071
2005-06-24 00:00:00	5078	56725119
2005-06-25 00:00:00	4882	43339613
2005-06-26 00:00:00	5437	59826400
2005-06-27 00:00:00	4529	39390226
2005-06-28 00:00:00	6112	72338775
2005-06-29 00:00:00	8159	83965559
2005-06-30 00:00:00	1910	15338030
2005-07-01 00:00:00	4665	56197747
2005-07-02 00:00:00	1970	17170161
2005-07-03 00:00:00	2890	28320485
2005-07-04 00:00:00	3565	43720099
2005-07-05 00:00:00	7657	97335010
2005-07-06 00:00:00	10791	141788081
2005-07-07 00:00:00	4460	50504407
2005-07-08 00:00:00	4227	49898013
2005-07-09 00:00:00	3910	39138425
2005-07-10 00:00:00	5233	56083637
2005-07-11 00:00:00	6291	65475107
2005-07-12 00:00:00	7297	78068355
2005-07-13 00:00:00	8485	93037696
2005-07-14 00:00:00	7040	74148495
2005-07-15 00:00:00	6149	58140926
2005-07-16 00:00:00	4177	36745865
2005-07-17 00:00:00	5017	55353309
2005-07-18 00:00:00	6931	70278070
