date_format(reply_date, '%Y-%m-%d %H:00')	count( distinct(query_field) )	count(query_field)
2005-05-18 12:00	3	8
2005-05-23 15:00	1	1
2005-05-25 13:00	3	4
2005-05-27 18:00	1	1
2005-05-31 09:00	5	7
2005-06-01 11:00	5	5
2005-06-02 07:00	12	13
2005-06-03 06:00	8	8
2005-06-05 00:00	1	1
2005-06-06 03:00	5	5
2005-06-07 00:00	14	23
2005-06-08 04:00	8	11
2005-06-09 09:00	29	59
2005-06-10 09:00	13	15
2005-06-11 10:00	1	1
2005-06-12 01:00	4	4
2005-06-13 10:00	8	9
2005-06-14 10:00	7	8
2005-06-15 00:00	15	17
2005-06-16 09:00	13	16
2005-06-17 06:00	15	24
2005-06-19 11:00	1	2
2005-06-20 05:00	14	19
2005-06-21 00:00	10	13
2005-06-22 06:00	13	24
2005-06-23 01:00	12	35
2005-06-24 01:00	5	5
2005-06-25 00:00	9	9
2005-06-26 07:00	6	8
2005-06-27 09:00	28	46
2005-06-28 02:00	10	13
2005-06-29 00:00	47	77
2005-06-30 00:00	3	6
2005-07-01 01:00	42	107
2005-07-02 03:00	3	3
2005-07-03 02:00	4	33
2005-07-04 12:00	2	2
2005-07-05 06:00	38	47
2005-07-06 00:00	98	149
2005-07-07 02:00	13	16
2005-07-08 05:00	8	31
2005-07-09 00:00	39	83
2005-07-10 14:00	28	48
2005-07-11 06:00	35	38
2005-07-12 07:00	35	39
2005-07-13 02:00	24	81
2005-07-14 00:00	14	31
2005-07-15 14:00	7	7
2005-07-16 07:00	7	52
2005-07-17 13:00	1	14
2005-07-18 04:00	12	26
2005-07-19 04:00	8	45
2005-07-20 01:00	21	74
2005-07-21 08:00	37	78
2005-07-22 09:00	9	10
2005-07-23 02:00	1	9
2005-07-24 03:00	5	32
2005-07-25 01:00	8	17
2005-07-26 02:00	21	39
2005-07-27 00:00	19	21
2005-07-28 08:00	11	15
2005-07-29 03:00	12	17
2005-07-30 11:00	2	3
2005-07-31 07:00	1	1
2005-08-01 01:00	10	72
2005-08-02 11:00	23	83
2005-08-03 05:00	15	16
2005-08-04 08:00	8	9
2005-08-05 07:00	7	33
2005-08-06 01:00	4	4
2005-08-07 02:00	4	30
2005-08-08 04:00	9	10
2005-08-09 01:00	22	27
2005-08-10 02:00	13	36
2005-08-11 00:00	22	27
2005-08-12 00:00	16	18
2005-08-13 11:00	3	3
2005-08-14 21:00	1	1
2005-08-15 04:00	14	20
2005-08-16 01:00	22	59
2005-08-17 01:00	13	47
2005-08-18 00:00	8	22
2005-08-19 07:00	14	17
2005-08-20 10:00	2	2
2005-08-21 09:00	2	2
2005-08-22 01:00	14	18
2005-08-23 01:00	22	33
2005-08-24 04:00	12	23
2005-08-25 02:00	13	15
2005-08-26 06:00	16	31
2005-08-27 09:00	3	3
2005-08-28 00:00	4	12
2005-08-29 08:00	13	18
2005-08-30 06:00	10	14
2005-08-31 07:00	3	4
2005-09-01 05:00	38	117
2005-09-02 00:00	14	47
2005-09-03 09:00	5	32
2005-09-04 01:00	8	67
2005-09-05 02:00	15	21
2005-09-06 11:00	12	15
2005-09-07 04:00	13	14
2005-09-08 01:00	27	61
2005-09-09 04:00	13	36
2005-09-10 10:00	6	6
2005-09-11 00:00	15	40
2005-09-12 02:00	21	29
2005-09-13 05:00	19	37
2005-09-14 01:00	68	162
2005-09-15 07:00	69	103
2005-09-16 04:00	15	19
2005-09-17 02:00	11	37
2005-09-18 07:00	12	28
2005-09-19 00:00	24	71
2005-09-20 00:00	17	31
2005-09-21 07:00	23	27
2005-09-22 05:00	19	50
2005-09-23 02:00	16	34
2005-09-24 07:00	9	21
2005-09-25 02:00	9	24
2005-09-26 02:00	166	233
2005-09-27 04:00	24	31
2005-09-28 00:00	18	20
2005-09-29 07:00	25	44
2005-09-30 08:00	2	2
2005-10-01 00:00	14	46
2005-10-02 02:00	9	10
2005-10-03 07:00	37	54
2005-10-04 05:00	40	74
2005-10-05 00:00	22	26
2005-10-06 03:00	41	77
2005-10-07 06:00	27	54
2005-10-08 00:00	23	80
2005-10-09 00:00	16	89
2005-10-10 00:00	29	92
2005-10-11 04:00	48	68
2005-10-12 04:00	12	17
2005-10-13 02:00	35	67
2005-10-14 01:00	19	58
2005-10-15 02:00	12	31
2005-10-16 09:00	7	23
2005-10-17 02:00	26	31
2005-10-18 04:00	14	32
2005-10-19 04:00	30	83
2005-10-20 01:00	13	36
2005-10-21 02:00	27	46
2005-10-22 01:00	15	36
2005-10-23 03:00	8	14
2005-10-24 04:00	34	45
2005-10-25 00:00	30	43
2005-10-26 04:00	15	27
2005-10-27 00:00	32	44
2005-10-28 00:00	21	24
2005-10-29 05:00	8	16
2005-10-30 00:00	5	19
2005-10-31 08:00	1	1
2005-11-01 03:00	32	141
2005-11-02 04:00	42	145
2005-11-03 05:00	42	51
2005-11-04 01:00	13	21
2005-11-05 14:00	5	7
2005-11-06 00:00	13	18
2005-11-07 00:00	27	152
2005-11-08 02:00	10	20
2005-11-09 01:00	23	31
2005-11-10 02:00	22	33
2005-11-11 02:00	18	41
2005-11-12 07:00	4	26
2005-11-13 00:00	20	44
2005-11-14 06:00	20	22
2005-11-15 01:00	27	139
2005-11-16 00:00	48	87
2005-11-17 02:00	20	42
2005-11-18 00:00	46	60
2005-11-19 03:00	5	7
2005-11-20 06:00	11	13
2005-11-21 01:00	56	89
2005-11-22 02:00	30	46
2005-11-23 02:00	20	46
2005-11-24 00:00	6	8
2005-11-25 00:00	8	11
2005-11-26 00:00	18	22
2005-11-27 02:00	11	14
2005-11-28 00:00	41	55
2005-11-29 02:00	27	41
2005-11-30 01:00	28	37
2005-12-01 00:00	34	57
2005-12-02 00:00	20	29
2005-12-03 09:00	13	24
2005-12-04 00:00	13	20
2005-12-05 00:00	18	24
2005-12-06 00:00	36	42
