date_format(reply_date, '%Y-%m-%d %H:00')	count( distinct(query_field) )	count(query_field)
2005-12-04 23:00	1	1
2005-12-05 00:00	1	2
2005-12-05 08:00	1	1
2005-12-05 09:00	2	3
2005-12-05 10:00	2	2
2005-12-05 11:00	1	1
2005-12-05 13:00	2	2
2005-12-05 14:00	3	4
2005-12-05 15:00	3	4
2005-12-05 18:00	1	1
2005-12-05 20:00	2	3
2005-12-05 21:00	1	1
2005-12-06 00:00	2	2
2005-12-06 01:00	1	1
2005-12-06 02:00	1	1
2005-12-06 03:00	1	1
2005-12-06 05:00	1	1
2005-12-06 07:00	1	1
2005-12-06 08:00	1	1
2005-12-06 09:00	4	5
2005-12-06 11:00	1	1
2005-12-06 14:00	1	1
2005-12-06 15:00	2	2
2005-12-06 16:00	4	4
2005-12-06 17:00	9	12
2005-12-06 18:00	6	8
2005-12-06 21:00	1	1
