hour	bytes
2005-11-30 00:00:00	3095717
2005-11-30 01:00:00	3095743
2005-11-30 02:00:00	6117970
2005-11-30 03:00:00	1259631
2005-11-30 04:00:00	2164131
2005-11-30 05:00:00	2051469
2005-11-30 06:00:00	1532329
2005-11-30 07:00:00	8402580
2005-11-30 08:00:00	2691364
2005-11-30 09:00:00	3765982
2005-11-30 10:00:00	26688982
2005-11-30 11:00:00	8015315
2005-11-30 12:00:00	5662163
2005-11-30 13:00:00	12323955
2005-11-30 14:00:00	7703531
2005-11-30 15:00:00	6270428
2005-11-30 16:00:00	9877862
2005-11-30 17:00:00	3552734
2005-11-30 18:00:00	3310763
2005-11-30 19:00:00	1335307
2005-11-30 20:00:00	3631058
2005-11-30 21:00:00	2384961
2005-11-30 22:00:00	3523074
2005-12-01 00:00:00	2601650
2005-12-01 01:00:00	1815911
2005-12-01 02:00:00	1095764
2005-12-01 03:00:00	3221336
2005-12-01 04:00:00	4988476
2005-12-01 05:00:00	3266566
2005-12-01 06:00:00	1039847
2005-12-01 07:00:00	471701
2005-12-01 08:00:00	1405272
2005-12-01 09:00:00	4111161
2005-12-01 10:00:00	9332831
2005-12-01 11:00:00	3668407
2005-12-01 12:00:00	16608794
2005-12-01 13:00:00	5182885
2005-12-01 14:00:00	4508795
2005-12-01 15:00:00	5418181
2005-12-01 16:00:00	3035373
2005-12-01 17:00:00	4409155
2005-12-01 18:00:00	5258730
2005-12-01 19:00:00	14680471
2005-12-01 20:00:00	4589854
2005-12-01 21:00:00	10145672
2005-12-01 22:00:00	2462588
2005-12-01 23:00:00	1914009
2005-12-02 00:00:00	3373168
2005-12-02 01:00:00	2033253
2005-12-02 02:00:00	1910082
2005-12-02 03:00:00	2660103
2005-12-02 04:00:00	2145497
2005-12-02 05:00:00	1543472
2005-12-02 06:00:00	1601811
2005-12-02 07:00:00	1308223
2005-12-02 08:00:00	4544505
2005-12-02 09:00:00	19979057
2005-12-02 10:00:00	2601122
2005-12-02 11:00:00	1843587
2005-12-02 12:00:00	6139816
2005-12-02 13:00:00	2709015
2005-12-02 14:00:00	2024215
2005-12-02 15:00:00	13350707
2005-12-02 16:00:00	1522808
2005-12-02 17:00:00	2370900
2005-12-02 18:00:00	1860509
2005-12-02 19:00:00	1041739
2005-12-02 20:00:00	835130
2005-12-02 21:00:00	701450
2005-12-02 22:00:00	1225662
2005-12-02 23:00:00	3314782
2005-12-03 00:00:00	3121895
2005-12-03 01:00:00	7045398
2005-12-03 02:00:00	2430388
2005-12-03 03:00:00	2199629
2005-12-03 04:00:00	1466794
2005-12-03 05:00:00	453272
2005-12-03 06:00:00	744458
2005-12-03 07:00:00	787207
2005-12-03 08:00:00	503760
2005-12-03 09:00:00	2188582
2005-12-03 10:00:00	1232305
2005-12-03 11:00:00	4083735
2005-12-03 12:00:00	4183804
2005-12-03 13:00:00	2696181
2005-12-03 14:00:00	7573894
2005-12-03 15:00:00	6120461
2005-12-03 16:00:00	2169274
2005-12-03 17:00:00	4506611
2005-12-03 18:00:00	4309149
2005-12-03 19:00:00	4646824
2005-12-03 20:00:00	3915496
2005-12-03 21:00:00	1249715
2005-12-03 22:00:00	1495933
2005-12-03 23:00:00	3814492
2005-12-04 00:00:00	2001317
2005-12-04 01:00:00	27500330
2005-12-04 02:00:00	2459791
2005-12-04 03:00:00	3527544
2005-12-04 04:00:00	2736541
2005-12-04 05:00:00	2698255
2005-12-04 06:00:00	1126324
2005-12-04 07:00:00	1813780
2005-12-04 08:00:00	1666500
2005-12-04 09:00:00	1228024
2005-12-04 10:00:00	1365842
2005-12-04 11:00:00	1884798
2005-12-04 12:00:00	2852515
2005-12-04 13:00:00	3268041
2005-12-04 14:00:00	2361540
2005-12-04 15:00:00	2641252
2005-12-04 16:00:00	876631
2005-12-04 17:00:00	5879109
2005-12-04 18:00:00	3768425
2005-12-04 19:00:00	2857147
2005-12-04 20:00:00	3452116
2005-12-04 21:00:00	3710418
2005-12-04 22:00:00	1556076
2005-12-04 23:00:00	2575176
2005-12-05 00:00:00	1357173
2005-12-05 01:00:00	7003192
2005-12-05 02:00:00	3975637
2005-12-05 03:00:00	1648161
2005-12-05 04:00:00	2706362
2005-12-05 05:00:00	1511974
2005-12-05 06:00:00	2596108
2005-12-05 07:00:00	1183706
2005-12-05 08:00:00	2038235
2005-12-05 09:00:00	1728531
2005-12-05 10:00:00	1941148
2005-12-05 11:00:00	17935589
2005-12-05 12:00:00	1783542
2005-12-05 13:00:00	20853862
2005-12-05 14:00:00	3369830
2005-12-05 15:00:00	4236677
2005-12-05 16:00:00	2417088
2005-12-05 17:00:00	2305958
2005-12-05 18:00:00	1904316
2005-12-05 19:00:00	2516809
2005-12-05 20:00:00	24959563
2005-12-05 21:00:00	1106689
2005-12-05 22:00:00	1093521
2005-12-05 23:00:00	1287463
2005-12-06 00:00:00	2342156
2005-12-06 01:00:00	3246573
2005-12-06 02:00:00	2280879
2005-12-06 03:00:00	1506578
2005-12-06 04:00:00	3996191
2005-12-06 05:00:00	14025689
2005-12-06 06:00:00	2632920
