reply_date	sum(reply_size)	count(reply_size)
2005-12-01 00:21:26	2601650	210
2005-12-01 01:00:19	1815911	208
2005-12-01 02:00:18	1095764	111
2005-12-01 03:00:41	3221336	227
2005-12-01 04:00:16	4988476	581
2005-12-01 05:00:00	3266566	269
2005-12-01 06:21:34	1039847	148
2005-12-01 07:00:55	471701	78
2005-12-01 08:00:20	1405272	196
2005-12-01 09:36:22	4111161	310
2005-12-01 10:11:05	9332831	713
2005-12-01 11:40:43	3668407	394
2005-12-01 12:02:49	16608794	1083
2005-12-01 13:20:48	5182885	607
2005-12-01 14:01:58	4508795	512
2005-12-01 15:00:16	5418181	501
2005-12-01 16:00:01	3035373	466
2005-12-01 17:00:22	4409155	395
2005-12-01 18:40:28	5258730	450
2005-12-01 19:00:36	14680471	906
2005-12-01 20:33:35	4589854	449
2005-12-01 21:00:56	10145672	1097
2005-12-01 22:00:27	2462588	183
2005-12-01 23:00:21	1914009	182
2005-12-02 00:34:49	3373168	270
2005-12-02 01:00:27	2033253	275
2005-12-02 02:00:16	1910082	181
2005-12-02 03:00:26	2660103	339
2005-12-02 04:47:07	2145497	251
2005-12-02 05:00:24	1543472	203
2005-12-02 06:00:01	1601811	211
2005-12-02 07:47:31	1308223	146
2005-12-02 08:32:30	4544505	291
2005-12-02 09:09:49	19979057	1163
2005-12-02 10:00:50	2601122	192
2005-12-02 11:17:39	1843587	257
2005-12-02 12:00:53	6139816	390
2005-12-02 13:54:07	2709015	323
2005-12-02 14:39:48	2024215	253
2005-12-02 15:46:03	13350707	1062
2005-12-02 16:00:44	1522808	211
2005-12-02 17:46:28	2370900	302
2005-12-02 18:09:47	1860509	255
2005-12-02 19:00:52	1041739	134
2005-12-02 20:00:40	835130	113
2005-12-02 21:00:09	701450	114
2005-12-02 22:00:01	1225662	143
2005-12-02 23:00:28	3314782	234
2005-12-03 00:00:02	3121895	244
2005-12-03 01:00:01	7045398	383
2005-12-03 02:00:10	2430388	213
2005-12-03 03:00:30	2199629	194
2005-12-03 04:00:08	1466794	141
2005-12-03 05:00:32	453272	84
2005-12-03 06:00:14	744458	165
2005-12-03 07:00:39	787207	135
2005-12-03 08:09:31	503760	72
2005-12-03 09:12:47	2188582	269
2005-12-03 10:00:13	1232305	177
2005-12-03 11:25:25	4083735	413
2005-12-03 12:23:13	4183804	374
2005-12-03 13:00:01	2696181	385
2005-12-03 14:01:09	7573894	591
2005-12-03 15:58:16	6120461	468
2005-12-03 16:02:11	2169274	251
2005-12-03 17:27:37	4506611	410
2005-12-03 18:32:24	4309149	767
2005-12-03 19:00:08	4646824	331
2005-12-03 20:55:55	3915496	410
2005-12-03 21:41:24	1249715	176
2005-12-03 22:03:35	1495933	233
2005-12-03 23:00:05	3814492	494
2005-12-04 00:31:00	2001317	232
2005-12-04 01:09:00	27500330	3851
2005-12-04 02:09:47	2459791	211
2005-12-04 03:05:41	3527544	305
2005-12-04 04:52:51	2736541	271
2005-12-04 05:00:23	2698255	311
2005-12-04 06:13:56	1126324	183
2005-12-04 07:00:38	1813780	205
2005-12-04 08:01:48	1666500	232
2005-12-04 09:00:42	1228024	272
2005-12-04 10:01:00	1365842	200
2005-12-04 11:46:34	1884798	230
2005-12-04 12:04:48	2852515	211
2005-12-04 13:00:12	3268041	283
2005-12-04 14:00:53	2361540	213
2005-12-04 15:00:33	2641252	285
2005-12-04 16:00:19	876631	186
2005-12-04 17:17:13	5879109	607
2005-12-04 18:19:45	3768425	363
2005-12-04 19:00:08	2857147	329
2005-12-04 20:31:50	3452116	428
2005-12-04 21:01:04	3710418	357
2005-12-04 22:01:16	1556076	218
2005-12-04 23:47:56	2575176	209
2005-12-05 00:19:49	1357173	179
2005-12-05 01:00:24	7003192	505
2005-12-05 02:00:10	3975637	322
2005-12-05 03:00:22	1648161	230
2005-12-05 04:00:37	2706362	285
2005-12-05 05:01:41	1511974	169
2005-12-05 06:00:20	2596108	227
2005-12-05 07:00:06	1183706	235
2005-12-05 08:49:41	2038235	337
2005-12-05 09:58:09	1728531	271
2005-12-05 10:28:29	1941148	251
2005-12-05 11:15:16	17935589	1132
2005-12-05 12:00:01	1783542	249
2005-12-05 13:16:05	20853862	1252
2005-12-05 14:06:12	3369830	456
2005-12-05 15:05:11	4236677	578
2005-12-05 16:00:37	2417088	307
2005-12-05 17:00:21	2305958	268
2005-12-05 18:36:09	1904316	288
2005-12-05 19:00:27	2516809	259
2005-12-05 20:28:59	24959563	1532
2005-12-05 21:11:43	1106689	143
2005-12-05 22:00:40	1093521	174
2005-12-05 23:01:39	1287463	170
2005-12-06 00:32:52	2342156	278
2005-12-06 01:09:40	3246573	227
2005-12-06 02:42:01	2280879	281
2005-12-06 03:54:38	1506578	215
2005-12-06 04:00:57	3996191	455
2005-12-06 05:14:59	14025689	958
2005-12-06 06:00:07	2632920	276
2005-12-06 07:19:08	1962617	287
2005-12-06 08:27:00	4278174	541
2005-12-06 09:38:43	6524345	721
2005-12-06 10:01:09	4511058	470
2005-12-06 11:49:23	5939771	511
2005-12-06 12:01:05	8899497	838
2005-12-06 13:00:09	6339484	313
2005-12-06 14:56:12	26994657	1573
2005-12-06 15:23:26	5457004	450
2005-12-06 16:01:09	8306254	709
2005-12-06 17:21:49	9422548	1059
2005-12-06 18:07:11	12927304	1327
2005-12-06 19:00:01	6947270	637
2005-12-06 20:01:08	1386015	210
2005-12-06 21:49:43	2997574	359
2005-12-06 22:00:32	1748948	236
